"Size","TreeSet","HashSet","LinkedHashSet","Vector","PriorityQueue","ArrayList","LinkedList"
"10","70100","2200","1500","11300","9700","8200","8300"
"50","3500","2800","2100","19900","131100","36900","12300"
"100","3200","2600","1900","11400","15500","360100","9100"
"500","6500","2200","2600","3900","4900","3500","4200"
"1000","12100","17300","2200","100300","179900","166800","133100"
"5000","2504000","23400","57100","1582800","1282800","3494800","205000"
"10000","8400","5900","6000","1116200","1340000","2071800","7655500"
"50000","11300","7900","7000","2918000","2780000","2513600","3102400"
"100000","14500","7500","9000","5482000","8122700","12066900","5807900"
"500000","15000","6400","7800","1532200","1220400","1507000","5384900"
"1000000","9600","7900","6900","4002700","4832100","43531200","9448500"
